"Generation","N_breeders","Mean_P_soft","Var_P_soft","Mean_P_hard","Var_P_hard","Mean_G_soft","Var_G_soft","Mean_G_hard","Var_G_hard","Gen_cor","Allele_freq","N_recruits","Mean_S","RpS","replicate","Comp"
1,500,0.459752219187269,56.1176095056223,-0.23739050230795,43.9660713712641,0.048,14.6830621242485,-0.21,11.9538076152305,-0.0409867222617543,0,565,0.565,1.13,1,"intruders competitively superior"
2,500,0.250312670293279,58.0855025935092,-0.421359869981987,42.7426086726591,0.187610619469027,14.1384987133622,-0.573451327433628,11.645747818992,0.014340809427231,0,553,0.553,1.106,1,"intruders competitively superior"
3,500,-0.0262487795971684,56.1622173148226,-0.761620094134171,47.8082936203521,0.419529837251356,14.6135309379668,-0.589511754068716,11.6772086379956,0.0442065684388946,0,559,0.559,1.118,1,"intruders competitively superior"
4,500,0.657532463242416,61.7220648563439,-0.355934413560988,48.451473926077,0.701252236135957,12.9052134828579,-0.189624329159213,12.6163079231346,-0.00360492824378021,0,552,0.552,1.104,1,"intruders competitively superior"
5,500,1.11750997937378,60.9771854687041,-0.0469495344519549,43.0882408038714,1.29166666666667,12.4392770719903,-0.295289855072464,12.6803407506773,0.026667346683727,0,546,0.546,1.092,1,"intruders competitively superior"
6,500,1.53294187675444,55.7144446469228,-0.699735307121482,44.0720889494049,1.74358974358974,11.4974358974359,-0.448717948717949,13.6606680780993,0.0774765066998888,0,560,0.56,1.12,1,"intruders competitively superior"
7,500,2.54236331768654,53.9283149788,-0.485242330088334,46.4590065305456,2.1625,12.6229203935599,-0.35,11.8486583184258,0.0760416848321213,0,558,0.558,1.116,1,"intruders competitively superior"
8,500,1.77459237660952,56.9326063305651,-0.0542498106831269,47.4264590919831,2.48566308243728,13.6111046762289,-0.403225806451613,11.7778710835698,0.104826302138036,0,578,0.578,1.156,1,"intruders competitively superior"
9,500,3.44132138616842,54.6086538665048,-0.443670864345245,42.0514743180306,2.84083044982699,13.7839798984126,-0.468858131487889,10.4505016401504,-0.0537364237477633,0,536,0.536,1.072,1,"intruders competitively superior"
10,500,3.08762578874239,55.8112043540388,0.0126223988260436,43.9297580217784,3.14738805970149,12.5670212023992,-0.404850746268657,10.3722381085228,-0.0540293623592543,0,541,0.541,1.082,1,"intruders competitively superior"
11,500,2.93759764342771,54.0255026301515,-0.47920591309762,46.3623108826246,3.27541589648799,13.0925241322654,-0.597042513863216,11.5262134593003,0.0797394994401638,0,537,0.537,1.074,1,"intruders competitively superior"
12,500,4.09867715140887,50.7651068499478,-0.761156074213051,41.2360842664152,3.89199255121043,12.506969343228,-0.690875232774674,9.61695016537425,0.0329901106746529,0,544,0.544,1.088,1,"intruders competitively superior"
13,500,4.45068814658489,59.8033349076276,-0.666123192290103,39.9353209820613,4.47977941176471,13.8633104484888,-0.575367647058823,9.7917309879753,0.0370143381374168,0,578,0.578,1.156,1,"intruders competitively superior"
14,500,4.80928523814572,55.4675108479366,-0.890170010477818,41.4479693543149,4.94982698961938,15.3025043027712,-0.664359861591695,9.9946027957518,0.0403228005150669,0,529,0.529,1.058,1,"intruders competitively superior"
15,500,5.7878471799194,56.3424687514631,-1.0731594781106,44.1864041583286,5.55765595463138,14.9857793435298,-0.795841209829868,10.5074826717076,0.0950519902978648,0,539,0.539,1.078,1,"intruders competitively superior"
16,500,5.75532778426458,59.7592324388385,-0.976824407198526,39.6458645854846,5.73469387755102,16.5224186328807,-0.827458256029685,10.533371036823,0.0484220564145212,0,520,0.52,1.04,1,"intruders competitively superior"
17,500,6.01703527843722,53.9458866546736,-0.243663314557763,45.271066890978,6.20576923076923,14.4296390988588,-0.803846153846154,11.4373647547058,0.102740058506764,0,541,0.541,1.082,1,"intruders competitively superior"
18,500,6.1297713601817,53.3132084263688,-0.710442672143557,42.0027147517537,6.2902033271719,13.8248853289519,-0.974121996303142,12.4030327924967,0.0914899981085709,0,545,0.545,1.09,1,"intruders competitively superior"
19,500,6.6530076731399,55.0314327710275,-0.679560621689921,47.3306468542197,6.82201834862385,12.5767201834862,-0.754128440366972,12.3034066378845,0.143172975237099,0,533,0.533,1.066,1,"intruders competitively superior"
20,500,7.06733115011659,57.0332386182627,-0.612887786330063,46.7138038512762,7.10131332082552,13.9446035351042,-0.547842401500938,10.7820113134619,0.0942141815287208,0,596,0.596,1.192,1,"intruders competitively superior"
21,500,6.99278397692661,58.1558737889758,-1.55102475595787,77.8808512185303,7.03381642512077,13.7778868630201,-1.60386473429952,44.397662459093,-0.140425277621176,0.026615969581749,526,0.526,1.052,1,"intruders competitively superior"
22,500,8.05897073581333,61.1906614036418,-2.40030644280324,85.2247544050092,7.73684210526316,15.8560765550239,-2.66061705989111,56.8682461639993,-0.21523773423471,0.0558882235528942,501,0.501,1.002,1,"intruders competitively superior"
23,500,8.17841200714344,60.6332275552899,-3.28356863327743,92.5364482778059,8.26045627376426,16.3682237914177,-3.29657794676806,64.4261596958175,-0.29717043463694,0.0759615384615385,520,0.52,1.04,1,"intruders competitively superior"
24,500,8.44096613353236,56.0379958959251,-4.06209440459557,98.5024007485826,8.57431192660551,14.5978683216406,-3.77064220183486,65.6991365353481,-0.296300761331691,0.0979667282809612,541,0.541,1.082,1,"intruders competitively superior"
25,500,8.85799118971638,57.338513515243,-5.69222470423501,95.949196471809,8.90989399293286,12.7086806967072,-5.3303886925795,61.3862253353763,-0.257769046285013,0.118677042801556,514,0.514,1.028,1,"intruders competitively superior"
26,500,8.93410520574748,60.7350597740577,-6.17374709053605,89.0991496475566,9.2430426716141,13.7084784572836,-5.84415584415584,58.9310577897938,-0.192749098103007,0.149122807017544,513,0.513,1.026,1,"intruders competitively superior"
27,500,9.28366318210992,58.3971911938203,-6.43514090042991,91.0717597911273,9.59479553903346,12.9900659730154,-6.46282527881041,60.1857663046112,-0.185407002115145,0.189759036144578,498,0.498,0.996,1,"intruders competitively superior"
28,500,9.46323425385879,53.3963616825178,-7.28678399447753,90.5030282570143,9.83747609942639,13.23215606983,-7.32504780114723,61.4841798348754,-0.207711398818889,0.240157480314961,508,0.508,1.016,1,"intruders competitively superior"
29,500,10.1189380657396,61.2288787171866,-6.98129064177518,86.0963023338101,10.1538461538462,13.4161364950839,-7.36022514071295,53.1143548364344,-0.117978573589174,0.240384615384615,520,0.52,1.04,1,"intruders competitively superior"
30,500,9.96535775317015,49.9373326103136,-8.0909686402834,82.2441698627396,10.5137614678899,13.3605639503508,-7.80733944954128,54.6558283864004,-0.0837353995898413,0.253036437246964,494,0.494,0.988,1,"intruders competitively superior"
31,500,10.6452026280869,52.4619700322744,-8.53556488425584,93.4577255970263,10.5915221579961,12.7710476785621,-8.47976878612717,52.1226594058964,-0.0537771738967405,0.289256198347107,484,0.484,0.968,1,"intruders competitively superior"
32,500,10.6073997146709,54.6106196601974,-9.73107714638435,81.9300058293718,10.8212180746562,12.5408087495939,-9.64440078585462,49.3910168154325,-0.0208526671680761,0.290262172284644,534,0.534,1.068,1,"intruders competitively superior"
33,500,10.9708164055218,56.4646744930962,-9.67296676507168,74.4360784863053,10.7996422182469,14.0959855348452,-9.67799642218247,44.1864504587685,-0.0369047461155258,0.275590551181102,508,0.508,1.016,1,"intruders competitively superior"
34,500,11.2725140724076,61.2809902681673,-10.4751950333956,79.9878197592253,11.2833020637899,15.9741003540747,-10.3733583489681,44.347183625104,-0.00230393150692979,0.297520661157025,484,0.484,0.968,1,"intruders competitively superior"
35,500,11.6410802388586,70.1185998060699,-10.8313313595956,77.5548535015085,11.6090373280943,16.7188945438795,-10.9607072691552,44.0260120972108,0.0753007943480954,0.303149606299213,508,0.508,1.016,1,"intruders competitively superior"
36,500,11.9982255402929,55.6292255921284,-11.0981769567626,73.4002076054697,11.5966228893058,14.5193118819563,-11.1482176360225,39.0813736969064,-0.006223355564599,0.318273092369478,498,0.498,0.996,1,"intruders competitively superior"
